date,symbol,compound_b,neg_b,neu_b,pos_b,compound_t,neg_t,neu_t,pos_t
2020-11-19,MRNA,0.9952,0.019,0.912,0.069,0.6572,0.078,2.6550000000000002,0.268
2020-11-19,PFE,3.8870999999999998,0.159,5.4399999999999995,0.40199999999999997,0.42840000000000006,0.315,5.131,0.554
2020-11-20,AZN,1.4386,0.122,3.668,0.21000000000000002,-0.08910000000000007,0.216,3.498,0.286
2020-11-20,JNJ,0.0,0.0,1.0,0.0,0.1531,0.147,0.6,0.253
2020-11-20,MRNA,1.7231999999999998,0.079,4.753,0.16799999999999998,-1.0173999999999999,0.8069999999999999,5.813,0.38
2020-11-20,PFE,1.9755,0.033,2.7569999999999997,0.21,-0.4845,0.28800000000000003,2.712,0.0
2020-11-21,MRNA,2.9649,0.093,2.583,0.325,0.0,0.0,3.0,0.0
2020-11-22,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-11-22,MRNA,1.8805,0.10200000000000001,1.7269999999999999,0.17099999999999999,0.0,0.0,2.0,0.0
2020-11-23,AZN,3.8501000000000003,0.087,8.541,0.371,2.3125,0.059,8.776,1.165
2020-11-23,MRNA,1.2477,0.023,1.748,0.228,0.25,0.0,1.867,0.133
2020-11-23,PFE,0.9508,0.028,1.889,0.082,0.39560000000000006,0.107,2.666,0.22699999999999998
2020-11-24,AZN,1.9924,0.076,8.643,0.281,1.6766999999999999,0.077,8.178999999999998,0.744
2020-11-24,MRNA,1.9367999999999999,0.059000000000000004,3.7489999999999997,0.192,0.5242,0.0,3.696,0.304
2020-11-24,PFE,0.0,0.0,1.0,0.0,0.3612,0.038,0.871,0.091
2020-11-25,JNJ,-0.9728,0.14,0.788,0.072,0.0,0.25,1.5,0.25
2020-11-25,MRNA,4.840400000000001,0.08399999999999999,5.369999999999999,0.5449999999999999,2.6076,0.0,5.9319999999999995,1.0679999999999998
2020-11-26,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-11-27,AZN,2.9097999999999997,0.07100000000000001,5.615,0.314,1.269,0.157,5.238,0.605
2020-11-27,MRNA,2.5688,0.054000000000000006,2.68,0.266,0.7003,0.0,3.7560000000000002,0.244
2020-11-28,AZN,2.2546,0.151,2.6079999999999997,0.24,0.4019,0.0,2.787,0.213
2020-11-29,AZN,0.9844,0.035,0.904,0.062,0.1027,0.0,0.909,0.091
2020-11-29,MRNA,1.9644,0.0,1.748,0.252,0.8121,0.0,1.688,0.312
2020-11-30,AZN,1.7934999999999999,0.09699999999999999,2.698,0.20400000000000001,0.3487,0.234,2.33,0.436
2020-11-30,MRNA,6.8222000000000005,0.28800000000000003,7.009,0.7030000000000001,-0.3257999999999998,0.9239999999999999,10.478,0.597
2020-12-01,AZN,0.9753,0.011,2.883,0.106,0.2732,0.0,2.942,0.058
2020-12-01,JNJ,0.0,0.0,3.0,0.0,0.6249,0.0,2.836,0.164
2020-12-01,MRNA,2.9865000000000004,0.085,4.638,0.278,1.2694000000000003,0.163,6.31,0.526
2020-12-01,PFE,0.0,0.0,0.0,0.0,0.296,0.0,1.925,0.075
2020-12-02,AZN,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,JNJ,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2020-12-02,MRNA,2.9687,0.07,3.632,0.29900000000000004,0.128,0.205,3.551,0.244
